ngram,freq_fg,relfreq_fg,freq_bg,relfreq_bg,phrase,inform,score
drink water,1,8.333333333,2,21.11188171,0.8635774,-0.077464372,0.786113028
masks going,1,4.166666667,0,0.000788115,0.42313706,0.357207609,0.780344669
masks every,1,4.166666667,0,0.000788115,0.42313706,0.357207609,0.780344669
masks properly,1,4.166666667,0,0.000788115,0.42313706,0.357207609,0.780344669
quarantine pass,1,5.882352941,1,0.698339734,0.654861911,0.125353318,0.780215229
masks manila,1,4.166666667,0,0.000788115,0.413839412,0.357207609,0.771047021
airborne virus,1,9.090909091,1,15.00086693,0.813001621,-0.04553028,0.767471341
kasi favorite,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi chekwa,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi panika,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi nasaktan,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi kagabi,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi ubo,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi itinago,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi klima,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi nagstay,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
kasi school,1,3.846153846,0,0.000783276,0.437749938,0.32688843,0.764638368
masks go,1,4.166666667,0,0.000788115,0.399819735,0.357207609,0.757027344
chinese new,3,7.142857143,2,1.429118961,0.639715368,0.114932479,0.754647848
masks hand,1,4.166666667,0,0.000788115,0.389348301,0.357207609,0.74655591
masks still,1,4.166666667,0,0.000788115,0.384958279,0.357207609,0.742165888
philippines new,1,5.882352941,1,0.327833865,0.568606789,0.169835597,0.738442386
social media,1,7.142857143,13,23.45482918,0.822926036,-0.084925968,0.738000068
kasi sya,1,3.846153846,0,0.000783276,0.411090431,0.32688843,0.737978861
kasi lalamunan,1,3.846153846,0,0.000783276,0.411090431,0.32688843,0.737978861
kasi pui,1,3.846153846,0,0.000783276,0.411090431,0.32688843,0.737978861
everyone stay,1,7.142857143,3,3.02133001,0.674394498,0.061458266,0.735852764
masks know,1,4.166666667,0,0.000788115,0.374026435,0.357207609,0.731234044
people panic,2,6.896551724,2,0.712230648,0.574474928,0.156577587,0.731052515
philippines please,1,5.882352941,1,0.327833865,0.560189092,0.169835597,0.730024689
mo covid,3,9.375,4,3.223871294,0.628456854,0.100074719,0.728531573
kasi pati,1,3.846153846,0,0.000783276,0.395495619,0.32688843,0.722384049
kasi mamatay,1,3.846153846,0,0.000783276,0.395495619,0.32688843,0.722384049
